City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
83,Butaritari,KI,81.63,broken clouds,3.0707,172.7902,Isles Sunset Lodge
84,Komsomolskiy,UZ,29.62,broken clouds,40.4272,71.7189,Ikathouse
85,Poum,NC,80.08,overcast clouds,-20.2333,164.0167,Gîte kajeon
86,Sambava,MG,74.75,overcast clouds,-14.2667,50.1667,Melrose
87,Viesca,MX,71.96,clear sky,25.35,-102.8,LA VIEZCA (Parque Magico)
88,Saldanha,ZA,64.45,clear sky,-33.0117,17.9442,Blue Bay Lodge
89,Kavieng,PG,84.07,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
91,Upernavik,GL,1.51,overcast clouds,72.7868,-56.1549,Gina's Guesthouse - Upernavik
92,Kurush,RU,10.29,few clouds,41.2841,47.8345,"Gostevoy Dom ""Severnoye Siyaniye"""
93,Sivas,TR,21.83,snow,39.7916,37.0019,Buruciye Otel
94,Yellowknife,CA,3.42,scattered clouds,62.456,-114.3525,The Explorer Hotel
96,Kavaratti,IN,77.14,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
97,Inhambane,MZ,77.95,overcast clouds,-23.865,35.3833,Oceano
99,Hobart,AU,64.02,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
101,Pacific Grove,US,67.15,clear sky,36.6177,-121.9166,Lovers Point Inn
102,Coihaique,CL,72.21,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
103,Bubaque,GW,79.81,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
104,Champerico,GT,91.94,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
105,Whitehorse,CA,36.37,few clouds,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
107,Mar Del Plata,AR,73.09,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
108,Korla,CN,23.07,clear sky,41.7597,86.1469,Gulisitan Hotel
109,Lima,PE,76.39,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
111,Texarkana,US,57.74,clear sky,33.4251,-94.0477,"Holiday Inn Express & Suites Texarkana, an IHG Hotel"
113,Roald,NO,43.32,light intensity drizzle,62.5833,6.1333,Flem Cabins
114,Ternate,ID,80.42,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
115,Kathu,TH,75.02,broken clouds,7.9178,98.3332,Novotel Phuket Resort
116,Beira,MZ,80.69,drizzle,-19.8436,34.8389,Beira Terrace Hotel
117,Nouadhibou,MR,69.78,scattered clouds,20.931,-17.0347,El Medina
119,East London,ZA,72.64,scattered clouds,-33.0153,27.9116,Tu Casa
120,Dalnegorsk,RU,12.06,overcast clouds,44.5604,135.5701,Dalnegorsk
121,Bathsheba,BB,77.61,broken clouds,13.2167,-59.5167,Atlantis Hotel
123,Martapura,ID,77.09,few clouds,-3.4167,114.85,Montana Hotel Syariah
125,Changji,CN,7.59,mist,44.0167,87.3167,Lvye Holiday Resort
127,Te Anau,NZ,53.76,broken clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
128,Palmer,US,35.22,few clouds,42.1584,-72.3287,Wedgewood Motel
