City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Baykit,RU,61.67,96.37,-17.18,100,97,0.89,overcast clouds
80,Uhlove,UA,44.8215,33.6045,24.57,85,82,4.56,broken clouds
81,Aguimes,ES,27.9054,-15.4461,59.63,65,75,13.8,broken clouds
82,Itarema,BR,-2.9248,-39.9167,80.87,74,99,13.49,overcast clouds
83,Butaritari,KI,3.0707,172.7902,81.63,80,51,17.67,broken clouds
84,Komsomolskiy,UZ,40.4272,71.7189,29.62,48,82,1.59,broken clouds
85,Poum,NC,-20.2333,164.0167,80.08,72,96,9.24,overcast clouds
86,Sambava,MG,-14.2667,50.1667,74.75,86,100,7.09,overcast clouds
87,Viesca,MX,25.35,-102.8,71.96,21,9,2.01,clear sky
88,Saldanha,ZA,-33.0117,17.9442,64.45,87,0,19.84,clear sky
89,Kavieng,PG,-2.5744,150.7967,84.07,72,100,9.28,overcast clouds
90,Clyde River,CA,70.4692,-68.5914,-3.77,77,100,21.85,light snow
91,Upernavik,GL,72.7868,-56.1549,1.51,94,100,5.59,overcast clouds
92,Kurush,RU,41.2841,47.8345,10.29,82,22,6.85,few clouds
93,Sivas,TR,39.7916,37.0019,21.83,93,100,13.8,snow
94,Yellowknife,CA,62.456,-114.3525,3.42,93,40,10.36,scattered clouds
95,Tilichiki,RU,60.4667,166.1,-16.33,95,99,9.48,overcast clouds
96,Kavaratti,IN,10.5669,72.642,77.14,56,82,8.57,broken clouds
97,Inhambane,MZ,-23.865,35.3833,77.95,92,96,8.77,overcast clouds
98,Qaanaaq,GL,77.484,-69.3632,-11.52,56,23,6.96,few clouds
99,Hobart,AU,-42.8794,147.3294,64.02,73,75,5.75,broken clouds
100,Kargasok,RU,59.0556,80.8572,-7.11,100,99,4.85,overcast clouds
101,Pacific Grove,US,36.6177,-121.9166,67.15,70,0,8.01,clear sky
102,Coihaique,CL,-45.5752,-72.0662,72.21,35,0,8.05,clear sky
103,Bubaque,GW,11.2833,-15.8333,79.81,64,100,10.49,overcast clouds
104,Champerico,GT,14.3,-91.9167,91.94,59,0,11.65,clear sky
105,Whitehorse,CA,60.7161,-135.0538,36.37,44,20,2.3,few clouds
106,Marzuq,YE,14.4,46.4667,59.04,29,9,2.51,clear sky
107,Mar Del Plata,AR,-38.0023,-57.5575,73.09,95,75,5.99,broken clouds
108,Korla,CN,41.7597,86.1469,23.07,67,0,4.38,clear sky
109,Lima,PE,-12.0432,-77.0282,76.39,79,0,1.99,clear sky
110,Ostrovnoy,RU,68.0531,39.5131,19.11,85,33,17.69,scattered clouds
111,Texarkana,US,33.4251,-94.0477,57.74,45,0,13.0,clear sky
112,Sembakung,ID,3.8167,117.25,76.93,99,99,1.72,overcast clouds
113,Roald,NO,62.5833,6.1333,43.32,87,75,14.97,light intensity drizzle
114,Ternate,ID,0.8,127.4,80.42,82,91,6.46,overcast clouds
115,Kathu,TH,7.9178,98.3332,75.02,80,81,8.77,broken clouds
116,Beira,MZ,-19.8436,34.8389,80.69,94,100,21.85,drizzle
117,Nouadhibou,MR,20.931,-17.0347,69.78,64,49,19.57,scattered clouds
118,Oshikango,NA,-17.4,15.8833,73.29,30,95,5.61,overcast clouds
119,East London,ZA,-33.0153,27.9116,72.64,81,49,2.3,scattered clouds
120,Dalnegorsk,RU,44.5604,135.5701,12.06,89,100,3.87,overcast clouds
121,Bathsheba,BB,13.2167,-59.5167,77.61,73,75,10.36,broken clouds
122,Tiksi,RU,71.6872,128.8694,-8.28,96,100,10.16,overcast clouds
123,Martapura,ID,-3.4167,114.85,77.09,94,20,3.44,few clouds
124,Saskylakh,RU,71.9167,114.0833,10.63,87,100,18.7,overcast clouds
